VF [V]	IF [A]	IL [u.a]
11.6	2.81	77.2
11.4	2.79	72.4
11.2	2.76	67.9
11.0	2.74	64.0
10.8	2.70	57.6
10.6	2.67	53.6
10.4	2.65	50.9
10.2	2.62	45.9
10.0	2.59	42.8
9.8	2.56	39.2
9.6	2.54	36.7
9.4	2.51	32.9
9.2	2.48	30.5
9.0	2.44	26.6
8.8	2.42	25.0
8.6	2.39	22.6
8.4	2.35	19.9
8.2	2.33	18.1
8.0	2.30	16.2
7.8	2.26	14.3
7.6	2.23	12.9
7.4	2.20	11.0
7.2	2.17	10.0
7.0	2.14	8.7
6.8	2.10	7.6
6.6	2.07	6.4
6.4	2.03	5.6
6.2	1.99	4.6
6.0	1.96	3.4
5.8	1.93	3.3
5.6	1.89	2.8
5.4	1.85	2.1
5.2	1.82	1.8
5.0	1.78	1.4
4.8	1.73	1.1
4.6	1.68	0.8
4.4	1.66	0.6
4.2	1.61	0.4
4.0	1.57	0.2
