Vr [V]	I [pA]
0.00	94.9
0.00	94.5
-0.02	93.0
-0.04	91.0
-0.04	90.2
-0.06	87.0
-0.07	86.8
-0.09	85.5
-0.09	84.3
-0.11	83.7
-0.11	82.9
-0.13	82.0
-0.14	80.9
-0.15	79.4
-0.17	78.9
-0.19	76.6
-0.20	75.6
-0.22	74.1
-0.23	72.9
-0.24	71.9
-0.25	71.3
-0.25	70.5
-0.26	69.5
-0.27	68.9
-0.27	68.6
-0.28	68.1
-0.29	67.2
-0.30	66.6
-0.31	65.3
-0.32	64.9
-0.33	64.3
-0.34	63.3
-0.34	62.5
-0.35	61.9
-0.35	61.5
-0.35	61.2
-0.36	60.8
-0.36	60.7
-0.37	60.5
-0.38	59.7
-0.38	59.4
-0.38	58.5
-0.39	58.8
-0.39	58.4
-0.41	57.5
-0.41	56.2
-0.42	56.2
-0.43	55.6
-0.43	55.1
-0.45	54.2
-0.46	52.8
-0.46	52.8
-0.46	53.0
-0.47	52.0
-0.47	51.7
-0.48	51.4
-0.50	50.4
-0.51	49.8
-0.51	49.2
-0.52	48.5
-0.52	47.9
-0.53	47.6
-0.54	46.9
-0.55	46.0
-0.56	46.0
-0.57	45.3
-0.57	44.8
-0.58	44.0
-0.59	43.6
-0.60	43.0
-0.61	42.5
-0.62	41.3
-0.63	41.3
-0.64	40.4
-0.65	39.9
-0.66	38.9
-0.67	38.1
-0.68	38.1
-0.68	37.4
-0.69	37.0
-0.70	36.8
-0.71	35.5
-0.72	34.9
-0.72	34.6
-0.73	34.2
-0.74	33.7
-0.75	33.1
-0.76	33.5
-0.77	32.0
-0.78	30.9
-0.79	30.4
-0.79	30.2
-0.80	30.1
-0.81	29.5
-0.82	29.0
-0.83	27.8
-0.84	27.9
-0.85	27.1
-0.86	26.6
-0.87	26.0
-0.88	25.3
-0.90	24.7
-0.91	24.0
-0.92	23.2
-0.93	22.8
-0.95	22.1
-0.96	21.1
-0.97	20.7
-0.98	20.3
-0.99	19.6
-1.00	19.1
-1.02	18.1
-1.03	17.2
-1.04	16.8
-1.05	16.3
-1.06	15.9
-1.07	15.4
-1.09	14.4
-1.10	13.7
-1.11	13.4
-1.12	13.2
-1.13	12.7
-1.14	12.3
-1.16	11.3
-1.18	10.5
-1.19	10.2
-1.19	10.1
-1.19	10.2
-1.20	10.1
-1.21	9.4
-1.23	8.9
-1.24	8.6
-1.25	8.5
-1.26	8.4
-1.26	8.1
-1.28	7.8
-1.29	7.1
-1.30	6.8
-1.31	6.8
-1.32	6.8
-1.34	6.3
-1.36	5.5
-1.37	5.3
-1.38	5.0
-1.39	4.7
-1.40	4.4
-1.41	4.1
-1.43	3.8
-1.44	3.4
-1.45	3.2
-1.46	3.2
-1.47	3.0
-1.49	2.7
-1.50	2.5
-1.50	2.5
-1.51	2.3
-1.52	2.1
-1.53	1.9
-1.55	1.7
-1.55	1.6
-1.57	1.5
-1.58	1.3
-1.59	1.2
-1.60	1.1
-1.60	1.0
-1.61	1.0
-1.62	0.9
-1.63	1.0
-1.65	0.8
-1.66	0.6
-1.67	0.5
-1.68	0.4
-1.69	0.3
-1.71	0.1
-1.72	0.0
-1.74	0.0
-1.76	-0.1
-1.77	-0.2
-1.79	-0.3
-1.80	-0.3
-1.82	-0.3
-1.84	-0.4
-1.85	-0.4
-1.87	-0.6
-1.88	-0.4
-1.90	-0.5
-1.91	-0.5
-1.92	-0.5
-1.95	-0.6
-1.96	-0.5
-1.97	-0.6
-1.98	-0.5
-1.99	-0.5
-2.01	-0.6
-2.02	-0.4
-2.04	-0.6
-2.05	-0.6
-2.06	-0.5
-2.08	-0.6
-2.09	-0.5
-2.11	-0.6
-2.12	-0.5
-2.14	-0.6
-2.16	-0.7
-2.17	-0.6
-2.18	-0.7
-2.19	-0.6
-2.22	-0.6
-2.23	-0.7
-2.25	-0.6
-2.26	-0.6
-2.27	-0.6
-2.29	-0.6
-2.30	-0.6
-2.31	-0.4
-2.33	-0.6
-2.34	-0.5
-2.36	-0.7
-2.37	-0.6
-2.39	-0.4
-2.39	-0.3
-2.41	-0.1
-2.42	-0.5
-2.44	-0.6
-2.45	-0.7
-2.47	-0.5
-2.49	-0.7
