Vr [V]	I [pA]
0.00	95.7
0.00	96.7
0.00	96.6
-0.01	95.9
-0.01	95.2
-0.02	94.7
-0.02	94.8
-0.03	94.2
-0.03	93.4
-0.04	93.0
-0.04	91.6
-0.06	91.3
-0.06	89.8
-0.06	89.1
-0.07	88.6
-0.07	88.1
-0.08	88.1
-0.08	87.5
-0.09	87.0
-0.09	86.7
-0.10	86.3
-0.10	85.7
-0.11	85.0
-0.12	84.3
-0.12	83.4
-0.13	83.0
-0.13	82.3
-0.14	81.8
-0.14	81.0
-0.15	80.1
-0.15	79.9
-0.16	79.2
-0.16	78.7
-0.17	78.0
-0.17	77.6
-0.18	77.0
-0.18	76.6
-0.18	76.1
-0.19	75.7
-0.19	75.4
-0.20	74.5
-0.20	74.2
-0.21	73.7
-0.21	73.1
-0.22	72.8
-0.22	71.1
-0.23	71.3
-0.23	70.9
-0.24	70.8
-0.24	70.2
-0.25	69.8
-0.25	69.1
-0.26	68.5
-0.26	67.8
-0.27	67.4
-0.28	66.7
-0.28	66.1
-0.29	65.2
-0.29	64.9
-0.29	64.1
-0.30	63.8
-0.30	63.3
-0.31	62.9
-0.31	62.2
-0.32	62.0
-0.32	61.5
-0.33	61.3
-0.33	60.6
-0.33	60.0
-0.34	59.8
-0.34	59.1
-0.35	58.7
-0.35	58.1
-0.36	57.7
-0.36	57.4
-0.37	56.9
-0.37	56.2
-0.38	56.0
-0.38	55.3
-0.39	55.0
-0.39	54.1
-0.39	54.0
-0.40	54.1
-0.41	53.6
-0.41	52.9
-0.41	52.7
-0.42	52.0
-0.43	51.4
-0.44	50.3
-0.45	47.2
-0.45	45.9
-0.45	46.3
-0.46	45.9
-0.46	45.7
-0.46	45.5
-0.47	45.1
-0.48	44.5
-0.48	43.9
-0.49	43.3
-0.49	43.6
-0.50	42.3
-0.50	41.6
-0.51	41.8
-0.52	40.6
-0.52	40.1
-0.53	39.7
-0.53	40.4
-0.54	40.5
-0.55	40.8
-0.55	40.2
-0.56	39.4
-0.57	39.1
-0.57	38.6
-0.58	38.0
-0.59	37.3
-0.59	36.7
-0.59	36.2
-0.60	35.9
-0.61	35.6
-0.61	34.9
-0.62	34.4
-0.62	32.9
-0.62	32.6
-0.63	31.8
-0.64	31.8
-0.64	31.0
-0.64	30.9
-0.65	30.4
-0.65	29.9
-0.66	29.8
-0.67	29.3
-0.67	28.7
-0.68	28.8
-0.69	28.9
-0.69	28.4
-0.70	27.6
-0.70	27.9
-0.70	27.4
-0.71	26.9
-0.72	25.6
-0.73	24.4
-0.73	24.4
-0.73	25.1
-0.74	24.9
-0.75	24.5
-0.75	23.9
-0.76	23.3
-0.77	22.5
-0.77	22.5
-0.78	22.3
-0.78	21.7
-0.79	21.2
-0.80	20.8
-0.81	20.1
-0.81	19.7
-0.82	19.3
-0.83	18.8
-0.84	18.2
-0.85	17.6
-0.86	17.0
-0.86	16.8
-0.87	16.5
-0.88	16.1
-0.88	15.4
-0.89	14.9
-0.90	14.5
-0.90	14.2
-0.91	13.8
-0.92	13.2
-0.93	12.8
-0.94	12.4
-0.95	12.0
-0.96	11.3
-0.96	11.0
-0.97	10.6
-0.99	10.0
-0.99	9.4
-1.00	9.2
-1.01	8.9
