Vr[V]	I [pA]
0.00	92.7
0.00	92.8
-0.01	92.4
-0.02	90.6
-0.03	89.3
-0.03	88.0
-0.05	86.9
-0.05	85.7
-0.06	85.2
-0.06	84.1
-0.07	82.8
-0.07	82.4
-0.08	80.7
-0.09	79.7
-0.09	78.9
-0.10	78.2
-0.10	77.6
-0.11	76.7
-0.11	75.9
-0.12	73.9
-0.12	73.5
-0.13	72.3
-0.14	69.4
-0.14	69.9
-0.15	68.8
-0.16	68.2
-0.16	66.6
-0.17	66.7
-0.17	65.4
-0.18	65.2
-0.19	63.7
-0.20	62.6
-0.20	61.5
-0.21	61.2
-0.22	60.3
-0.23	58.8
-0.24	58.6
-0.24	58.4
-0.25	56.9
-0.26	56.6
-0.27	55.3
-0.28	54.2
-0.28	53.6
-0.29	52.6
-0.30	52.1
-0.31	51.2
-0.31	50.0
-0.32	49.4
-0.33	48.7
-0.34	47.6
-0.34	46.3
-0.35	45.9
-0.36	45.2
-0.37	43.8
-0.37	43.1
-0.38	42.6
-0.39	42.0
-0.40	41.2
-0.40	40.7
-0.40	40.5
-0.41	39.7
-0.42	38.5
-0.43	37.9
-0.44	37.9
-0.45	36.1
-0.46	35.4
-0.46	35.0
-0.48	34.2
-0.49	32.8
-0.49	32.3
-0.50	32.0
-0.50	31.8
-0.51	30.7
-0.52	29.7
-0.53	29.3
-0.54	28.7
-0.56	27.6
-0.56	26.5
-0.57	26.2
-0.58	25.4
-0.60	24.3
-0.60	23.8
-0.61	23.1
-0.62	22.1
-0.63	21.4
-0.64	20.9
-0.66	20.0
-0.66	19.0
-0.68	18.4
-0.69	17.6
-0.70	17.1
-0.71	16.4
-0.72	15.5
-0.73	15.2
-0.74	14.5
-0.74	13.8
-0.76	13.3
-0.77	12.9
-0.77	12.3
-0.78	11.8
-0.79	11.2
-0.80	11.0
-0.81	10.3
-0.82	9.6
-0.83	9.2
-0.84	8.6
-0.86	8.3
-0.87	7.6
-0.88	6.9
-0.89	6.4
-0.90	5.9
-0.92	5.8
-0.93	5.0
-0.94	4.6
-0.95	4.3
-0.97	3.7
-0.98	3.5
-0.99	3.0
-1.00	2.6
-1.02	2.2
-1.03	2.0
-1.05	1.6
-1.06	1.3
-1.07	1.0
-1.08	0.7
-1.10	0.5
-1.11	0.4
-1.12	0.2
-1.13	0.1
-1.14	-0.1
-1.15	-0.3
-1.17	-0.4
-1.18	-0.5
-1.19	-0.5
-1.20	-0.7
-1.21	-0.7
-1.22	-0.9
-1.23	-0.9
-1.25	-1.0
-1.26	-1.0
-1.27	-1.1
-1.28	-1.1
-1.29	-1.2
-1.30	-1.1
-1.32	-1.3
-1.33	-1.3
-1.35	-1.3
-1.36	-1.3
-1.37	-1.3
-1.39	-1.4
-1.40	-1.4
-1.42	-1.5
-1.44	-1.4
-1.45	-1.3
-1.46	-1.4
-1.48	-1.4
-1.49	-1.5
-1.50	-1.4
-1.52	-1.5
-1.53	-1.5
-1.54	-1.5
-1.56	-1.4
-1.57	-1.4
-1.58	-1.6
-1.59	-1.5
-1.61	-1.5
-1.62	-1.5
-1.62	-1.4
-1.64	-1.6
-1.66	-1.5
-1.67	-1.4
-1.69	-1.5
-1.70	-1.5
-1.72	-1.5
-1.74	-1.5
-1.75	-1.4
-1.76	-1.5
-1.78	-1.6
-1.80	-1.6
-1.82	-1.6
-1.84	-1.4
-1.85	-1.6
-1.87	-1.5
-1.88	-1.4
-1.89	-1.5
-1.91	-1.5
-1.92	-1.4
-1.93	-1.5
-1.95	-1.5
-1.96	-1.6
-1.97	-1.4
