Vr [V]	I [pA]
0.00	69.7
0.00	69.8
-0.02	68.8
-0.04	67.2
-0.06	65.7
-0.07	64.0
-0.09	61.8
-0.11	61.2
-0.13	60.0
-0.14	57.8
-0.16	57.0
-0.19	55.1
-0.20	54.4
-0.23	52.4
-0.24	50.8
-0.26	49.1
-0.28	47.3
-0.29	46.5
-0.31	45.4
-0.32	44.7
-0.33	43.8
-0.35	42.3
-0.37	40.7
-0.39	39.2
-0.41	38.0
-0.44	36.7
-0.45	35.5
-0.48	33.8
-0.49	32.4
-0.51	31.2
-0.53	29.6
-0.56	28.4
-0.59	26.6
-0.61	25.6
-0.64	24.1
-0.66	22.6
-0.69	21.3
-0.70	19.7
-0.72	18.4
-0.75	17.0
-0.77	16.2
-0.79	15.1
-0.81	14.8
-0.83	13.1
-0.85	12.5
-0.87	11.6
-0.89	10.6
-0.91	9.8
-0.94	8.7
-0.96	7.8
-0.99	6.5
-1.01	6.1
-1.04	5.2
-1.06	4.8
-1.10	3.7
-1.12	3.5
-1.15	2.7
-1.18	2.3
-1.19	1.8
-1.19	1.9
-1.21	1.4
-1.24	1.2
-1.26	1.0
-1.28	0.8
-1.30	0.4
-1.33	0.2
-1.36	-0.1
-1.38	-0.3
-1.41	-0.5
-1.44	-0.6
-1.48	-0.8
-1.51	-0.7
-1.54	-0.8
-1.56	-0.8
-1.59	-0.8
-1.61	-0.7
-1.64	-0.8
-1.66	-0.7
-1.69	-0.8
-1.71	-0.7
-1.74	-0.8
-1.76	-0.7
-1.79	-0.8
-1.82	-0.8
-1.84	-0.9
-1.87	-0.9
-1.90	-0.9
-1.92	-0.9
-1.96	-0.9
-1.98	-0.9
-2.01	-0.9
-2.03	-0.9
-2.06	-0.9
-2.08	-0.9
-2.11	-1.1
-2.14	-1.0
-2.17	-1.0
-2.20	-1.0
-2.22	-1.0
-2.25	-1.0
-2.28	-1.0
-2.31	-1.1
-2.33	-1.0
-2.36	-1.0
-2.39	-1.0
-2.41	-1.0
-2.43	-1.0
-2.45	-1.0
-2.48	-0.9
-2.50	-1.0
-2.52	-1.0
-2.55	-1.0
-2.56	-0.8
-2.60	-0.9
-2.61	-0.8
-2.64	-0.9
-2.66	-0.8
-2.69	-0.8
-2.71	-0.8
-2.74	-0.9
-2.76	-0.8
-2.78	-0.8
-2.78	-0.7
-2.79	-0.8
-2.82	-0.9
-2.83	-0.8
-2.86	-0.9
-2.89	-0.9
-2.92	-0.9
-2.94	-0.8
-2.97	-0.9
-2.99	-0.9
-3.02	-1.0
-3.06	-1.1
-3.09	-1.1
-3.12	-1.0
-3.15	-0.9
-3.17	-0.9
-3.19	-0.8
-3.21	-0.9
-3.24	-1.0
-3.27	-1.0
-3.29	-1.0
-3.33	-1.0
-3.36	-0.9
-3.38	-0.9
-3.42	-1.0
-3.44	-0.9
-3.47	-1.0
-3.50	-1.0
-3.53	-1.0
-3.56	-1.0
-3.58	-1.0
-3.60	-1.0
-3.63	-1.0
-3.65	-0.9
-3.67	-1.0
-3.71	-1.1
-3.73	-1.0
-3.77	-1.0
-3.78	-0.9
-3.80	-0.9
