F1(kHz)	phi1(deg)
18.96	-85.9
20.86	-87.2
24.23	-85.3
28.45	-87.2
32.94	-85.5
37.93	-87.3
43.16	-85.1
45.79	-85.2
46.61	-80.1
46.94	-81.3
48.77	-77.1
52.89	-74.9
55.22	-73.6
61.56	-63.9
62.07	-60.4
63.11	-55.6
64.19	-50.8
64.74	-49.6
66.46	-44.5
70.19	-33.6
71.52	-30.6
72.91	-28.1
79.82	0
81.63	0
85.34	12.3
86.32	17.8
87.33	23.6
91.59	30.7
96.28	41.1
101.51	48.8
105.80	55.6
112.10	62.4
121.10	66.3
131.82	74.8
150.23	80.4
158.11	83.1
161.50	84.2
181.21	86.1
200.91	88.9
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
