F(kHz)	V_O(Vpp)
0.15	0.06
0.26	0.08
0.31	0.09
0.41	0.11
0.47	0.13
0.49	0.16
0.73	0.18
0.91	0.22
1.22	0.29
1.38	0.33
1.56	0.37
1.94	0.47
2.61	0.65
3.36	0.93
3.89	1.18
4.04	1.19
4.65	1.44
5.32	1.71
5.99	2.08
6.80	2.54
7.39	2.91
7.86	3.22
8.15	3.62
8.79	4.03
9.81	4.57
9.31	4.36
10.17	4.68
10.55	4.69
10.86	4.61
11.42	4.43
11.79	4.23
12.59	3.89
13.19	3.54
13.85	3.15
14.77	2.87
15.39	2.58
17.31	2.16
19.79	1.82
20.71	1.67
21.51	1.51
23.33	1.33
25.47	1.23
28.78	1.03
35.74	0.77
32.12	0.86
35.97	0.78
41.97	0.65
49.46	0.53
58.94	0.44
72.89	0.35
89.35	0.26
100.71	0.21
128.80	0.16
151.82	0.13
187.80	0.09
235.71	0.07
	
	
	
	
