VD (v)	I_D(A) Temperatura=0C
0.167	0
0.423	0
0.459	0
0.498	2e-05
0.556	8e-05
0.558	0.00011
0.564	0.00013
0.571	0.00018
0.589	0.00024
0.591	0.00025
0.605	0.00033
0.613	0.00041
0.625	0.00052
0.630	0.00057
0.642	0.00070
0.656	0.00093
0.657	0.00099
0.665	0.00108
0.671	0.00122
0.678	0.00132
0.681	0.00147
0.686	0.00161
0.691	0.00171
0.700	0.00197
0.714	0.00240
0.721	0.00265
0.730	0.00299
0.745	0.00358
0.753	0.00392
0.765	0.00454
0.785	0.00551
0.792	0.00581
0.813	0.00685
0.832	0.00793
0.857	0.00920
0.858	0.00935
0.863	0.00957
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
