VD(v)	ID(A) Temperatura Ambiente= 22C
0.056	0
0.130	0
0.220	0
0.230	0
0.330	0
0.390	0
0.410	1e-05
0.410	2e-05
0.450	3e-05
0.480	6e-05
0.490	8e-05
0.500	0.00011
0.517	0.00021
0.537	0.00023
0.550	0.00028
0.560	0.00041
0.570	0.00051
0.580	0.00062
0.585	0.00068
0.588	0.00073
0.591	0.00077
0.598	0.00090
0.602	0.00096
0.603	0.00097
0.605	0.00105
0.608	0.00109
0.609	0.00113
0.611	0.00117
0.613	0.00121
0.615	0.00127
0.620	0.00131
0.623	0.00142
0.626	0.00150
0.630	0.00159
0.633	0.00166
0.636	0.00173
0.640	0.00188
0.643	0.00199
0.646	0.00212
0.653	0.00229
0.655	0.00239
0.659	0.00250
0.665	0.00270
0.669	0.00289
0.672	0.00303
0.678	0.00329
0.682	0.00347
0.688	0.00379
0.694	0.00405
0.699	0.00433
0.706	0.00479
0.713	0.00528
0.730	0.00646
0.741	0.00715
0.755	0.00821
0.764	0.00907
0.777	0.01029
	
	
	
	
	
	
	
	
	
	
	
	
	
