VD(v)	ID(A)  Temperatura=40C
0.003	0
0.105	0
0.124	0
0.147	0
0.230	0
0.268	0
0.273	0
0.302	0
0.321	0
0.330	0
0.385	4e-05
0.410	0.00012
0.458	0.00035
0.462	0.00037
0.470	0.00044
0.477	0.00048
0.481	0.00052
0.487	0.00056
0.494	0.00063
0.500	0.00070
0.512	0.00078
0.521	0.00090
0.541	0.00109
0.542	0.00107
0.549	0.00116
0.551	0.00117
0.556	0.00131
0.564	0.00135
0.564	0.00141
0.571	0.00150
0.575	0.00157
0.583	0.00170
0.592	0.00199
0.593	0.00207
0.597	0.00218
0.600	0.00230
0.605	0.00254
0.610	0.00274
0.616	0.00300
0.620	0.00329
0.623	0.00350
0.628	0.00380
0.633	0.00409
0.637	0.00448
0.641	0.00490
0.646	0.00531
0.651	0.00569
0.656	0.00623
0.662	0.00702
0.673	0.00841
0.682	0.00937
0.682	0.00934
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
