VD((v)	ID(A) Temperatura=54C
0.005	0
0.017	0
0.027	0
0.128	0
0.183	0
0.282	0
0.345	5e-05
0.356	8e-05
0.370	0.00014
0.409	0.00028
0.458	0.00055
0.472	0.00065
0.486	0.00077
0.493	0.00085
0.507	0.00097
0.512	0.00104
0.517	0.00105
0.518	0.00112
0.522	0.00120
0.525	0.00126
0.537	0.00146
0.544	0.00158
0.547	0.00166
0.550	0.00168
0.556	0.00176
0.560	0.00188
0.562	0.00194
0.564	0.00204
0.565	0.00216
0.569	0.00217
0.568	0.00223
0.572	0.00228
0.576	0.00238
0.577	0.00248
0.578	0.00257
0.579	0.00264
0.581	0.00273
0.584	0.00279
0.586	0.00289
0.589	0.00298
0.591	0.00305
0.592	0.00318
0.594	0.00329
0.596	0.00337
0.597	0.00345
0.600	0.00356
0.602	0.00364
0.604	0.00386
0.606	0.00406
0.611	0.00423
0.612	0.00439
0.613	0.00454
0.617	0.00473
0.619	0.00504
0.623	0.00537
0.626	0.00567
0.627	0.00586
0.632	0.00627
0.636	0.00677
0.638	0.00703
0.641	0.00730
0.646	0.00770
0.647	0.00816
0.650	0.00861
0.655	0.00946
0.657	0.00982
	
	
	
	
