VD(v)	ID(A) Temperatura=73C
0.017	0
0.175	0
0.230	1e-05
0.363	2e-05
0.390	2e-05
0.402	6e-05
0.430	0.00016
0.448	0.00024
0.471	0.00047
0.475	0.00049
0.479	0.00058
0.488	0.00075
0.492	0.00082
0.506	0.00106
0.509	0.00115
0.513	0.00123
0.518	0.00135
0.524	0.00145
0.528	0.00161
0.533	0.00173
0.537	0.00193
0.542	0.00212
0.545	0.00223
0.548	0.00233
0.552	0.00251
0.553	0.00256
0.558	0.00269
0.560	0.00290
0.563	0.00319
0.568	0.00352
0.572	0.00367
0.578	0.00403
0.583	0.00454
0.587	0.00477
0.591	0.00529
0.598	0.00598
0.609	0.00735
0.618	0.00863
0.623	0.00925
0.627	0.00983
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
